black_id,black_rating
a-000                                                                                               ,1191
skinnerua1                                                                                          ,1261
a-002                                                                                               ,1500
adivanov20093                                                                                       ,1454
adivanov20094                                                                                       ,1469
franklin145325                                                                                      ,1002
daniel_likes_chess6                                                                                 ,1423
soultego7                                                                                           ,2108
daniel_likes_chess8                                                                                 ,1392
mirco259                                                                                            ,1209
anaissac10                                                                                          ,1272
subham77711                                                                                         ,1867
roman1234200512                                                                                     ,1936
alkhan13                                                                                            ,1607
sureka_akshat14                                                                                     ,1141
shivangithegenius15                                                                                 ,1094
sureka_akshat16                                                                                     ,1141
shivangithegenius17                                                                                 ,1094
slam_ment18                                                                                         ,1300
shivangithegenius19                                                                                 ,1094
lex_v120                                                                                            ,1676
themannichreaction21                                                                                ,1068
shivangithegenius22                                                                                 ,1094
shivangithegenius23                                                                                 ,1106
ivangonzalez12324                                                                                   ,1423
sureka_akshat25                                                                                     ,1219
shivangithegenius26                                                                                 ,1079
shivangithegenius27                                                                                 ,1038
biyanivedant0128                                                                                    ,1156
chinmaysharma29                                                                                     ,1148
shivangithegenius30                                                                                 ,1036
shivangithegenius31                                                                                 ,1002
shivangithegenius32                                                                                 ,1019
shamlanaseer33                                                                                      ,1500
shivangithegenius34                                                                                 ,975
sorethea35                                                                                          ,1832
shivangithegenius36                                                                                 ,978
jojo5837                                                                                            ,1500
shivangithegenius38                                                                                 ,978
shivangithegenius39                                                                                 ,978
shivangithegenius40                                                                                 ,978
shivangithegenius41                                                                                 ,978
shivangithegenius42                                                                                 ,978
shivangithegenius43                                                                                 ,978
shivangithegenius44                                                                                 ,978
shivangithegenius45                                                                                 ,978
jjwrchess46                                                                                         ,1500
shivangithegenius47                                                                                 ,978
shivangithegenius48                                                                                 ,978
shivangithegenius49                                                                                 ,978
balkarec50                                                                                          ,1500
shivangithegenius51                                                                                 ,978
lucasimeon52                                                                                        ,1500
shivangithegenius53                                                                                 ,978
gerfsh54                                                                                            ,1162
gerfsh55                                                                                            ,1500
wpc9656                                                                                             ,1458
wpc9657                                                                                             ,1442
tbaruel58                                                                                           ,1294
wpc9659                                                                                             ,1466
oldpaths60                                                                                          ,1579
david148861                                                                                         ,1573
lc77762                                                                                             ,1605
oldpaths63                                                                                          ,1581
oldpaths64                                                                                          ,1568
oldpaths65                                                                                          ,1574
rubberchicken0466                                                                                   ,1596
oldpaths67                                                                                          ,1554
trump216bc68                                                                                        ,1461
efer00369                                                                                           ,1335
fcolpo70                                                                                            ,1470
oldpaths71                                                                                          ,1590
oldpaths72                                                                                          ,1588
sale070673                                                                                          ,1547
oldpaths74                                                                                          ,1599
insequitur75                                                                                        ,1547
tb-12376                                                                                            ,1728
oldpaths77                                                                                          ,1579
iris_foxspring78                                                                                    ,2105
oldpaths79                                                                                          ,1560
geburah80                                                                                           ,1436
urmil00781                                                                                          ,1667
oldpaths82                                                                                          ,1549
oldpaths83                                                                                          ,1545
antoniogallero84                                                                                    ,1408
matheuswillx85                                                                                      ,1512
oldpaths86                                                                                          ,1532
euler_jr87                                                                                          ,1593
krillnor88                                                                                          ,1539
oldpaths89                                                                                          ,1548
hoanghieudro290                                                                                     ,1418
oldpaths91                                                                                          ,1550
gabrielsol92                                                                                        ,1399
crushmik93                                                                                          ,1877
oldpaths94                                                                                          ,1535
remisero95                                                                                          ,1784
ryan9496                                                                                            ,1445
hollyandclaws97                                                                                     ,1500
anonymous170598                                                                                     ,1714
ars0199                                                                                             ,1748
avelez8100                                                                                          ,1739
vincenzo2000101                                                                                     ,1855
avelez8102                                                                                          ,1729
pavankumarg103                                                                                      ,1388
mrmaccc104                                                                                          ,1806
avelez8105                                                                                          ,1728
avelez8106                                                                                          ,1738
avelez8107                                                                                          ,1750
frynoodles108                                                                                       ,1487
avelez8109                                                                                          ,1735
yolandoparada110                                                                                    ,1631
murattibogurcu111                                                                                   ,1396
hunecel112                                                                                          ,1760
cdvh113                                                                                             ,1795
cdvh114                                                                                             ,1784
japcan115                                                                                           ,1872
raubstein116                                                                                        ,1721
cdvh117                                                                                             ,1768
cdvh118                                                                                             ,1756
capito2017119                                                                                       ,1958
cdvh120                                                                                             ,1706
dashy1121                                                                                           ,925
sassou122                                                                                           ,1219
memoryberat123                                                                                      ,921
sassou124                                                                                           ,1201
alpheus23125                                                                                        ,1280
sassou126                                                                                           ,1212
kapi77127                                                                                           ,1341
cohiba_313128                                                                                       ,1359
bagelsfu129                                                                                         ,1236
sassou130                                                                                           ,1282
sassou131                                                                                           ,1276
maougnassou132                                                                                      ,1308
sassou133                                                                                           ,1266
popsun134                                                                                           ,1409
sassou135                                                                                           ,1277
marktop1136                                                                                         ,1336
sassou137                                                                                           ,1273
shobik24138                                                                                         ,1253
sassou139                                                                                           ,1233
agilm140                                                                                            ,1189
sassou141                                                                                           ,1204
sassou142                                                                                           ,1216
lumipa143                                                                                           ,1219
sassou144                                                                                           ,1227
sassou145                                                                                           ,1225
sassou146                                                                                           ,1234
sassou147                                                                                           ,1221
vladimir_shindin148                                                                                 ,1478
martin74149                                                                                         ,1626
sassou150                                                                                           ,1228
sassou151                                                                                           ,1210
sassou152                                                                                           ,1223
shazzam9999153                                                                                      ,1212
chessn00b47154                                                                                      ,1343
isachess155                                                                                         ,1862
roshan_ie156                                                                                        ,1852
isachess157                                                                                         ,1863
sergej1956158                                                                                       ,1918
pogrib159                                                                                           ,1844
tartetatin160                                                                                       ,1774
isachess161                                                                                         ,1862
robinhood76162                                                                                      ,1890
isachess163                                                                                         ,1840
isachess164                                                                                         ,1848
isachess165                                                                                         ,1858
jadesummer166                                                                                       ,1895
isachess167                                                                                         ,1856
borvel168                                                                                           ,1802
homayoni169                                                                                         ,1856
isachess170                                                                                         ,1837
maxpiz5171                                                                                          ,1806
philiveykk172                                                                                       ,1820
isachess173                                                                                         ,1849
isachess174                                                                                         ,1859
samdooley175                                                                                        ,1965
teguhmaster176                                                                                      ,1843
isachess177                                                                                         ,1866
dzigibau178                                                                                         ,1860
isachess179                                                                                         ,1874
isachess180                                                                                         ,1865
claudiucojo181                                                                                      ,1835
abikhoshnavaz182                                                                                    ,1829
sakkkakas183                                                                                        ,1846
isachess184                                                                                         ,1835
isachess185                                                                                         ,1845
nicolo97186                                                                                         ,1917
tajbo4187                                                                                           ,1790
isachess188                                                                                         ,1847
turix189                                                                                            ,1869
isachess190                                                                                         ,1836
isachess191                                                                                         ,1826
whfo192                                                                                             ,1267
taranga193                                                                                          ,1270
taranga194                                                                                          ,1281
taranga195                                                                                          ,1292
piroz_xucestih196                                                                                   ,1293
taranga197                                                                                          ,1317
taranga198                                                                                          ,1305
taranga199                                                                                          ,1305
vikrant_dalvi200                                                                                    ,1466
taranga201                                                                                          ,1299
jamila1234202                                                                                       ,1232
hknight_chess203                                                                                    ,2108
taranga204                                                                                          ,1289
taranga205                                                                                          ,1289
yugesh_naidu206                                                                                     ,1311
taranga207                                                                                          ,1289
andreas636208                                                                                       ,1484
armourbuddy209                                                                                      ,1810
taranga210                                                                                          ,1289
snapper211                                                                                          ,1500
taranga212                                                                                          ,1297
moon50213                                                                                           ,1485
italiantranslator214                                                                                ,1211
taranga215                                                                                          ,1280
naoufel216                                                                                          ,1765
moon50217                                                                                           ,1454
taranga218                                                                                          ,1270
moon50219                                                                                           ,1534
moon50220                                                                                           ,1663
taranga221                                                                                          ,1238
hsanderr222                                                                                         ,1417
madara21223                                                                                         ,1732
taranga224                                                                                          ,1234
kingofchess2017225                                                                                  ,1219
dbschultz226                                                                                        ,1600
dbschultz227                                                                                        ,1617
nienkotter228                                                                                       ,1358
robin512229                                                                                         ,1325
jdominguez230                                                                                       ,1265
sam7neeee231                                                                                        ,1950
batatinhaazul232                                                                                    ,1249
thegrim123321233                                                                                    ,1389
baconneggs234                                                                                       ,1361
thegrim123321235                                                                                    ,1371
brainiac007236                                                                                      ,1429
danilo1961237                                                                                       ,1368
thegrim123321238                                                                                    ,1371
merthy70239                                                                                         ,1326
thegrim123321240                                                                                    ,1383
thegrim123321241                                                                                    ,1399
ranie123242                                                                                         ,1447
thegrim123321243                                                                                    ,1387
tecnoch244                                                                                          ,1351
dantesmontecristo245                                                                                ,1339
gallosantoss246                                                                                     ,1400
thegrim123321247                                                                                    ,1389
thegrim123321248                                                                                    ,1378
ziogasparo14249                                                                                     ,1257
tcgil250                                                                                            ,1332
thegrim123321251                                                                                    ,1360
thegrim123321252                                                                                    ,1360
onafets26253                                                                                        ,1217
thegrim123321254                                                                                    ,1346
batuhh255                                                                                           ,1099
an73r05256                                                                                          ,1287
krishubhi257                                                                                        ,1555
eideral258                                                                                          ,1580
eideral259                                                                                          ,1547
eideral260                                                                                          ,1527
fva261                                                                                              ,1547
maumau62262                                                                                         ,1607
eideral263                                                                                          ,1557
arebest95264                                                                                        ,1632
eideral265                                                                                          ,1609
eideral266                                                                                          ,1558
abel4865267                                                                                         ,1730
eideral268                                                                                          ,1552
eideral269                                                                                          ,1552
atorius270                                                                                          ,1456
eideral271                                                                                          ,1478
grubear272                                                                                          ,1614
rangelelbano273                                                                                     ,1934
tabellaria274                                                                                       ,1613
tabellaria275                                                                                       ,1587
mattieuw2276                                                                                        ,1593
tabellaria277                                                                                       ,1546
snowden278                                                                                          ,1709
tabellaria279                                                                                       ,1527
blackphish280                                                                                       ,1379
jabar72281                                                                                          ,1501
tabellaria282                                                                                       ,1516
tabellaria283                                                                                       ,1495
little---a284                                                                                       ,1475
tabellaria285                                                                                       ,1440
xad55toque286                                                                                       ,1974
xtreh287                                                                                            ,1945
nadanadora288                                                                                       ,1611
nadanadora289                                                                                       ,1611
nadanadora290                                                                                       ,1611
qaisahleyorof291                                                                                    ,2059
googol100292                                                                                        ,1478
