white_id,white_rating
bourgris0                                                                                           ,1500
a-001                                                                                               ,1322
ischia2                                                                                             ,1496
daniamurashov3                                                                                      ,1439
nik2211074                                                                                          ,1523
trelynn175                                                                                          ,1250
capa_jr6                                                                                            ,1520
daniel_likes_chess7                                                                                 ,1413
ehabfanri8                                                                                          ,1439
daniel_likes_chess9                                                                                 ,1381
daniel_likes_chess10                                                                                ,1381
daniel_likes_chess11                                                                                ,1381
daniel_likes_chess12                                                                                ,1381
daniel_likes_chess13                                                                                ,1381
shivangithegenius14                                                                                 ,1094
sureka_akshat15                                                                                     ,1141
shivangithegenius16                                                                                 ,1094
sureka_akshat17                                                                                     ,1141
shivangithegenius18                                                                                 ,1094
g-ios19                                                                                             ,1500
shivangithegenius20                                                                                 ,1094
shivangithegenius21                                                                                 ,1094
storm28rus22                                                                                        ,1500
robotsmoke23                                                                                        ,1307
shivangithegenius24                                                                                 ,1113
shivangithegenius25                                                                                 ,1078
gmcarlsen40326                                                                                      ,1825
mannat127                                                                                           ,1328
shivangithegenius28                                                                                 ,1056
shivangithegenius29                                                                                 ,1077
biyanivedant0130                                                                                    ,1358
rv020931                                                                                            ,1200
vihaandumir32                                                                                       ,1203
shivangithegenius33                                                                                 ,1019
medovich34                                                                                          ,1422
shivangithegenius35                                                                                 ,976
rico2136                                                                                            ,1569
shivangithegenius37                                                                                 ,978
jojo5838                                                                                            ,1500
rajuppi39                                                                                           ,2449
white_queen_199040                                                                                  ,1207
milestretch41                                                                                       ,1241
stephen78942                                                                                        ,1500
rajuppi43                                                                                           ,2443
hmbrgr44                                                                                            ,1500
jjwrchess45                                                                                         ,1500
shivangithegenius46                                                                                 ,978
adnanraj47                                                                                          ,1343
rajuppi48                                                                                           ,2436
rajuppi49                                                                                           ,2436
shivangithegenius50                                                                                 ,978
lucasimeon51                                                                                        ,1500
shivangithegenius52                                                                                 ,978
lucasimeon53                                                                                        ,1500
wing17554                                                                                           ,1521
caramiecho7255                                                                                      ,1407
mazyaraghgmail56                                                                                    ,1492
anrk57                                                                                              ,1414
wpc9658                                                                                             ,1457
acahn59                                                                                             ,1525
iskendermyucel60                                                                                    ,1207
oldpaths61                                                                                          ,1567
oldpaths62                                                                                          ,1578
jordanfury63                                                                                        ,1939
porquepepe64                                                                                        ,1618
gio121265                                                                                           ,1755
oldpaths66                                                                                          ,1561
berejokserg67                                                                                       ,1500
oldpaths68                                                                                          ,1544
oldpaths69                                                                                          ,1563
oldpaths70                                                                                          ,1579
chesschumpchamp71                                                                                   ,1617
aminox72                                                                                            ,1207
oldpaths73                                                                                          ,1595
redar174                                                                                            ,1855
oldpaths75                                                                                          ,1589
oldpaths76                                                                                          ,1571
tb-12377                                                                                            ,1720
oldpaths78                                                                                          ,1579
zoro5579                                                                                            ,1768
oldpaths80                                                                                          ,1552
oldpaths81                                                                                          ,1536
serai82                                                                                             ,1521
allahdeweswin83                                                                                     ,1251
oldpaths84                                                                                          ,1537
oldpaths85                                                                                          ,1522
euler_jr86                                                                                          ,1602
oldpaths87                                                                                          ,1543
oldpaths88                                                                                          ,1556
hoanghieudro289                                                                                     ,1409
oldpaths90                                                                                          ,1539
ehabhaddad91                                                                                        ,1603
oldpaths92                                                                                          ,1542
oldpaths93                                                                                          ,1546
amary3394                                                                                           ,1134
oldpaths95                                                                                          ,1513
oldpaths96                                                                                          ,1501
lotfibma97                                                                                          ,1500
avelez898                                                                                           ,1745
avelez899                                                                                           ,1734
salah04100                                                                                          ,1942
avelez8101                                                                                          ,1724
majid_alsalhi102                                                                                    ,1951
avelez8103                                                                                          ,1726
avelez8104                                                                                          ,1735
hopefullman15105                                                                                    ,1597
laeca53106                                                                                          ,1743
totoymate107                                                                                        ,1721
avelez8108                                                                                          ,1746
jdalcheco109                                                                                        ,1744
avelez8110                                                                                          ,1749
avelez8111                                                                                          ,1769
